date;permco;ret;vol
2001-06-04;7.0;-0.01101003121584654;5075482.0
2001-06-05;7.0;0.01355279237031937;8470147.0
2001-06-06;7.0;-0.01002870034426451;4028667.0
2001-06-07;7.0;0.0448625348508358;5892544.0
2001-06-08;7.0;-0.01569714397192001;6169561.0
2001-06-11;7.0;-0.06003746762871742;5294396.0
2001-06-12;7.0;0.01347298081964254;5479124.0
2001-06-13;7.0;0.007877885363996029;9226987.0
2001-06-14;7.0;-0.02882267534732819;5462272.0
2001-06-15;7.0;0.02816908434033394;8232029.0
2001-06-18;7.0;-0.005381634458899498;6250153.0
2001-06-19;7.0;-0.006886344868689775;5805752.0
2001-06-20;7.0;0.07330358773469925;7792285.0
2001-06-21;7.0;0.03784031793475151;6185840.0
2001-06-22;7.0;-0.01022674702107906;5151770.0
2001-06-25;7.0;0.0777178555727005;7925923.0
2001-06-26;7.0;-0.01000415906310081;4930139.0
2001-06-27;7.0;-0.01726315170526505;6949250.0
2001-06-28;7.0;0.008569013327360153;6286470.0
2001-06-29;7.0;-0.01231949497014284;10573314.0
2001-07-02;7.0;0.02795697376132011;4159648.0
2001-07-03;7.0;-0.002510437974706292;2027932.0
2001-07-05;7.0;-0.02726508490741253;2750084.0
2001-07-06;7.0;-0.05002155154943466;5468737.0
2001-07-09;7.0;0.03041307628154755;6084553.0
2001-07-10;7.0;-0.06872252374887466;7173925.0
2001-07-11;7.0;0.06622523814439774;8461516.0
2001-07-12;7.0;0.08074532449245453;11111974.0
2001-07-13;7.0;0.02011493220925331;8169772.0
2001-07-16;7.0;-0.03581494092941284;5041609.0
2001-07-17;7.0;0.04757935553789139;11742714.0
2001-07-18;7.0;-0.1717131286859512;20418968.0
2001-07-19;7.0;-0.03992312774062157;15446008.0
2001-07-20;7.0;0.00100202695466578;7987835.0
2001-07-23;7.0;-0.02202195301651955;4389565.0
2001-07-24;7.0;-0.02302972041070461;6287669.0
2001-07-25;7.0;-0.03247778117656708;7992539.0
2001-07-26;7.0;0.006497067864984274;6682138.0
2001-07-27;7.0;0.01990311592817307;6014359.0
2001-07-30;7.0;-0.001582214143127203;4386331.0
2001-07-31;7.0;-0.007395635824650526;4235259.0
2001-08-01;7.0;0.01436926797032356;5513255.0
2001-08-02;7.0;0.03987409546971321;4564420.0
2001-08-03;7.0;-0.01614529266953468;3346583.0
2001-08-06;7.0;-0.01897440291941166;1805503.0
2001-08-07;7.0;0.006272913888096809;3048719.0
2001-08-08;7.0;-0.01818183809518814;4997786.0
2001-08-09;7.0;0.007936487905681133;3631205.0
2001-08-10;7.0;-0.001574739115312696;3385383.0
2001-08-13;7.0;0.003680320456624031;2687083.0
2001-08-14;7.0;-0.01885807327926159;4113533.0
2001-08-15;7.0;-0.01548312976956367;5210998.0
2001-08-16;7.0;0.01138823665678501;5246820.0
2001-08-17;7.0;-0.03109919279813766;3741488.0
2001-08-20;7.0;0.002767080441117287;4529301.0
2001-08-21;7.0;-0.01103756949305534;3396127.0
2001-08-22;7.0;0.01618297956883907;3203533.0
2001-08-23;7.0;-0.02196593210101128;3966239.0
2001-08-24;7.0;0.04267267137765884;5291122.0
2001-08-27;7.0;0.0188476238399744;3197162.0
2001-08-28;7.0;-0.02748416736721992;3103971.0
2001-08-29;7.0;-0.03097824566066265;4309544.0
2001-08-30;7.0;0.0;6635240.0
2001-08-31;7.0;0.04038134217262268;3905983.0
2001-09-04;7.0;-0.01617246679961681;6284045.0
2001-09-05;7.0;0.01643831469118595;6466657.0
2001-09-06;7.0;-0.04474393278360367;5140494.0
2001-09-07;7.0;-0.02483062259852886;4359340.0
2001-09-10;7.0;0.005208341870456934;5548370.0
2001-09-17;7.0;-0.02187686040997505;8527483.0
2001-09-18;7.0;-0.04178923368453979;5925838.0
2001-09-19;7.0;0.04545452818274498;6710492.0
2001-09-20;7.0;-0.07873091101646423;7498512.0
2001-09-21;7.0;0.003188726725056767;10266902.0
2001-09-24;7.0;0.0457724891602993;5307257.0
2001-09-25;7.0;-0.05531919375061989;6809846.0
2001-09-26;7.0;-0.02509654685854912;8853446.0
2001-09-27;7.0;0.0237624179571867;5793408.0
2001-09-28;7.0;0.0;6616643.0
2001-10-01;7.0;0.001934218686074018;4049986.0
2001-10-02;7.0;-0.03153151646256447;4239707.0
2001-10-03;7.0;-0.004651205614209175;12324450.0
2001-10-04;7.0;0.0600801482796669;7214553.0
2001-10-05;7.0;0.01637274958193302;6147919.0
2001-10-08;7.0;0.003717557294294238;3741773.0
2001-10-09;7.0;-0.01234572567045689;3129391.0
2001-10-10;7.0;0.05124998092651367;5529713.0
2001-10-11;7.0;0.05469679459929466;6012673.0
2001-10-12;7.0;0.01521986816078424;5183951.0
2001-10-15;7.0;-0.001110519515350461;5710025.0
2001-10-16;7.0;0.001111754216253757;3645889.0
2001-10-17;7.0;-0.05663522705435753;5297215.0
2001-10-18;7.0;0.05944674834609032;10969717.0
2001-10-19;7.0;0.01666662469506264;3001592.0
2001-10-22;7.0;0.03934432938694954;7027144.0
2001-10-23;7.0;-0.04626714065670967;12269122.0
2001-10-24;7.0;0.0446527786552906;6716500.0
2001-10-25;7.0;0.01266489550471306;4580341.0
2001-10-26;7.0;-0.02709746919572353;4999592.0
2001-10-29;7.0;-0.05570438876748085;4297898.0
2001-10-30;7.0;-0.001701575820334256;4967148.0
2001-10-31;7.0;-0.002272779354825616;4932899.0
2001-11-01;7.0;0.05865607783198357;5615821.0
2001-11-02;7.0;-0.001075871870853007;3545108.0
2001-11-05;7.0;0.02692514844238758;4236464.0
2001-11-06;7.0;0.026219192892313;5676395.0
2001-11-07;7.0;0.001021995791234076;6873299.0
2001-11-08;7.0;-0.04492093250155449;6221080.0
2001-11-09;7.0;0.0;2415027.0
2001-11-12;7.0;0.002137943170964718;3624076.0
2001-11-13;7.0;0.03306671231985092;4039295.0
2001-11-14;7.0;0.01239028200507164;3990166.0
2001-11-15;7.0;-0.008159094490110874;3846677.0
2001-11-16;7.0;-0.02467873692512512;4148999.0
2001-11-19;7.0;0.05429629608988762;5967256.0
